gene	tree	count
GHR	receptor|cytokine receptor|type I cytokine receptor	1
GRM3	receptor|G-protein coupled receptor	7
GRM2	receptor|G-protein coupled receptor	7
CA1	lyase|dehydratase	32
GRM5	receptor|G-protein coupled receptor	20
GRM4	receptor|G-protein coupled receptor	8
CA3	lyase|dehydratase	4
GRM7	receptor|G-protein coupled receptor	5
CA2	lyase|dehydratase	37
GRM6	receptor|G-protein coupled receptor	4
CA4	lyase|dehydratase	25
GRM8	receptor|G-protein coupled receptor	7
CA7	lyase|dehydratase	12
CA6	lyase|dehydratase	12
CA9	lyase|dehydratase	17
CA8	lyase|dehydratase	1
PDPK1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	9
CAD	transferase	1
CYP4A11	oxidoreductase|oxygenase	1
MKL1	transcription factor	1
ACTA1	cytoskeletal protein|actin family cytoskeletal protein|actin and actin related protein	1
ACOX1	oxidoreductase|oxidase	1
CAT	oxidoreductase|peroxidase	1
MAN1B1	chaperone	1
FBP1	hydrolase|phosphatase|carbohydrate phosphatase	2
SLC3A1	hydrolase|amylase	1
NT5C2	hydrolase|phosphatase|nucleotide phosphatase	2
PSMB10	hydrolase|protease	2
CRYZ	oxidoreductase|dehydrogenase	1
CYTH2	membrane traffic protein|membrane trafficking regulatory protein	1
GNG2	enzyme modulator|G-protein|heterotrimeric G-protein	1
CNR2	receptor|G-protein coupled receptor	12
CBS	lyase|dehydratase	2
CNR1	receptor|G-protein coupled receptor	17
OXCT1	transferase	2
SV2A	transporter	1
MKNK1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
MKNK2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
PTK2B	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	3
OXCT2	transferase	1
TRDMT1	transferase|methyltransferase	1
RRM1	oxidoreductase|reductase	9
RRM2	oxidoreductase|reductase	8
HSD3B2	lyase|dehydratase	2
HSD3B1	lyase|dehydratase	2
WARS2	ligase|aminoacyl-tRNA synthetase	1
POLE4	nucleic acid binding|DNA binding protein|DNA-directed DNA polymerase	1
GALE	lyase|dehydratase	1
POLE2	nucleic acid binding|DNA binding protein|DNA-directed DNA polymerase	1
POLE3	nucleic acid binding|DNA binding protein|DNA-directed DNA polymerase	1
ACKR3	hydrolase|phosphatase|protein phosphatase	1
KRAS	enzyme modulator|G-protein|small GTPase	1
TEK	transferase|kinase|protein kinase|receptor tyrosine protein kinase	4
CDA	hydrolase|deaminase	2
PI4K2B	transferase|kinase	1
PRSS1	hydrolase|protease|serine protease	4
EPRS	ligase	1
GRPR	receptor|G-protein coupled receptor	1
GLS	hydrolase	1
GJA1	cell junction protein|gap junction	4
GJA3	cell junction protein|gap junction	3
SCN11A	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	18
GJA5	cell junction protein|gap junction	3
GJA4	cell junction protein|gap junction	3
NAMPT	signaling molecule|cytokine	2
GJA9	cell junction protein|gap junction	3
GJA8	cell junction protein|gap junction	3
GAMT	transferase|methyltransferase	2
PRKCG	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	7
PRKCI	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	3
PRKCH	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
PRKCB	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	10
PRKCE	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	6
PRKCD	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	7
PRKCA	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	20
CEL	hydrolase|esterase	1
GABRG3	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	26
TAAR1	receptor|G-protein coupled receptor	4
GABRG2	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	36
GANC	hydrolase|glucosidase	1
GABRG1	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	26
MTAP	transferase|phosphorylase	1
SCN10A	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	34
MAP1A	cytoskeletal protein|microtubule family cytoskeletal protein|non-motor microtubule binding protein	2
PRKCQ	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	4
PI4K2A	transferase|kinase	1
LIPT1	transferase	1
TPH2	oxidoreductase|hydroxylase	1
TPH1	oxidoreductase|hydroxylase	4
PDXDC1	lyase|decarboxylase	1
PRKDC	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	10
ADH7	oxidoreductase|dehydrogenase	1
SDSL	lyase|dehydratase	1
PRKCZ	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	4
ADH5	oxidoreductase|dehydrogenase	2
GJC1	cell junction protein|gap junction	3
LDHC	oxidoreductase|dehydrogenase	1
ADH4	oxidoreductase|dehydrogenase	1
LDHB	oxidoreductase|dehydrogenase	1
GJC3	cell junction protein|gap junction	3
LDHA	oxidoreductase|dehydrogenase	2
GJC2	cell junction protein|gap junction	3
HMOX1	oxidoreductase|oxygenase	2
HMOX2	oxidoreductase|oxygenase	1
FDFT1	transferase|farnesyltransferase	1
PLK4	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
PLK3	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	3
DMPK	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
PLK2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	2
PLK1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	8
NFATC1	transcription factor	1
GP9	extracellular matrix protein|extracellular matrix glycoprotein	1
SQLE	oxidoreductase|oxygenase	4
GJB2	cell junction protein|gap junction	3
GJB1	cell junction protein|gap junction	3
GJB4	cell junction protein|gap junction	3
GJB3	cell junction protein|gap junction	3
GJB6	cell junction protein|gap junction	3
PAH	oxidoreductase|oxygenase	6
GJB5	cell junction protein|gap junction	3
GJB7	cell junction protein|gap junction	3
PAM	oxidoreductase|oxygenase	1
GABRB3	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	30
GABRB2	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	33
PYGB	transferase|phosphorylase	1
CDKN1A	enzyme modulator|kinase modulator|kinase inhibitor	1
GABRB1	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	29
RARG	transcription factor|nuclear hormone receptor	11
ARPC1B	cytoskeletal protein|actin family cytoskeletal protein	1
GPT	transferase|transaminase	4
PYGM	transferase|phosphorylase	8
PYGL	transferase|phosphorylase	6
CSAD	lyase|decarboxylase	1
GJE1	cell junction protein|gap junction	3
AIFM1	oxidoreductase|oxidase	1
GAST	signaling molecule|peptide hormone	1
TK2	transferase|kinase|nucleotide kinase	2
GJD2	cell junction protein|gap junction	3
HADHA	oxidoreductase|dehydrogenase	1
KAT2B	nucleic acid binding|DNA binding protein|chromatin/chromatin-binding protein	2
GJD4	cell junction protein|gap junction	3
KAT2A	nucleic acid binding|DNA binding protein|chromatin/chromatin-binding protein	1
TUBB2B	cytoskeletal protein|microtubule family cytoskeletal protein|tubulin	3
GJD3	cell junction protein|gap junction	3
TUBB2A	cytoskeletal protein|microtubule family cytoskeletal protein|tubulin	3
RARA	transcription factor|nuclear hormone receptor	12
RARB	transcription factor|nuclear hormone receptor	12
GARS	ligase|aminoacyl-tRNA synthetase	1
GART	transferase	1
MGLL	hydrolase|lipase|phospholipase	1
NR1I3	transcription factor|nuclear hormone receptor	4
NR1I2	transcription factor|nuclear hormone receptor	20
NDUFA4L2	oxidoreductase	1
ADCY2	lyase|cyclase|guanylate cyclase	2
ADCY1	lyase|cyclase|guanylate cyclase	3
ADCY5	lyase|cyclase|guanylate cyclase	2
ADRBK2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
ADRBK1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
ALOX5	oxidoreductase|oxygenase	29
CKB	transferase|kinase|amino acid kinase	1
LDLR	extracellular matrix protein|extracellular matrix glycoprotein	1
GABRA2	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	46
BCHE	hydrolase|esterase	19
GABRA1	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	59
CKM	transferase|kinase|amino acid kinase	1
GABRA6	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	39
CSNK1A1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	2
GABRA5	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	46
MGMT	transferase|methyltransferase|DNA methyltransferase	4
TPK1	transferase|kinase|pyrophosphokinase	1
GABRA4	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	38
GSS	ligase	3
NR1H2	transcription factor|nuclear hormone receptor	3
GABRA3	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	47
GSR	oxidoreductase|oxidase	6
MOCOS	transferase|sulfurtransferase	1
NR1H4	transcription factor|nuclear hormone receptor	8
GATB	ligase	1
NR1H3	transcription factor|nuclear hormone receptor	3
TUBB4B	cytoskeletal protein|microtubule family cytoskeletal protein|tubulin	8
TUBB4A	cytoskeletal protein|microtubule family cytoskeletal protein|tubulin	5
DHRS3	oxidoreductase|dehydrogenase	1
HIPK3	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
DHRS4	oxidoreductase|dehydrogenase	1
GNMT	transferase|methyltransferase	2
GATM	transferase|amidinotransferase	3
VKORC1L1	oxidoreductase	1
CSF1	signaling molecule|cytokine	2
TPMT	transferase|methyltransferase	1
PROS1	enzyme modulator	2
RPL10L	nucleic acid binding|RNA binding protein|ribosomal protein	2
IL5RA	receptor|cytokine receptor|type I cytokine receptor	2
FGF1	signaling molecule|growth factor	2
FGF2	signaling molecule|growth factor	2
TNF	signaling molecule|cytokine|tumor necrosis factor family member	19
SLC8A1	transporter|cation transporter	5
PROSC	other	1
NPEPPS	hydrolase|protease|metalloprotease	1
CYSLTR1	receptor|G-protein coupled receptor	7
CYSLTR2	receptor|G-protein coupled receptor	3
SLCO2B1	transporter	2
PAPOLA	nucleic acid binding|RNA binding protein|mRNA processing factor|mRNA polyadenylation factor	1
CSNK1G3	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
MAP2K1	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	18
USP7	hydrolase|protease|cysteine protease	3
MAP2K2	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	8
DIO1	oxidoreductase|peroxidase	1
USP2	hydrolase|protease|cysteine protease	1
DYRK1A	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
DYRK1B	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	3
PGD	oxidoreductase|dehydrogenase	3
THNSL1	lyase|dehydratase	1
PGF	signaling molecule|growth factor	1
MTNR1A	receptor|G-protein coupled receptor	10
LTB4R2	receptor|G-protein coupled receptor	3
MTNR1B	receptor|G-protein coupled receptor	11
PGR	transcription factor|nuclear hormone receptor	32
TPO	oxidoreductase|peroxidase	3
CLCA1	transporter|ion channel	1
DRD1	receptor|G-protein coupled receptor	65
PI3	enzyme modulator|protease inhibitor|serine protease inhibitor	2
DRD2	receptor|G-protein coupled receptor	122
MAP2K7	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	1
DRD3	receptor|G-protein coupled receptor	71
DRD4	receptor|G-protein coupled receptor	52
MAP2K5	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	2
DRD5	receptor|G-protein coupled receptor	40
MCL1	signaling molecule	4
M6PR	receptor	1
P4HA1	oxidoreductase|oxygenase	3
P4HA2	oxidoreductase|oxygenase	1
BCL2	signaling molecule	17
TPP2	hydrolase|protease|serine protease	1
RSL24D1	nucleic acid binding|RNA binding protein|ribosomal protein	2
BCL2L2	signaling molecule	2
BCL2L1	signaling molecule	4
AMD1	lyase|decarboxylase	2
FTCD	hydrolase|deaminase	2
ADAMTS5	enzyme modulator|protease inhibitor|serine protease inhibitor	1
THBD	receptor	3
RNPEP	hydrolase|protease|metalloprotease	1
IDH3B	oxidoreductase|dehydrogenase	1
KRTAP5-2	extracellular matrix protein|extracellular matrix structural protein	1
HMGCS2	transferase	1
PRKG1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	3
IDH3A	oxidoreductase|dehydrogenase	1
SLC13A1	transporter|cation transporter	1
TRPC7	transporter|ion channel	2
SLC13A2	transporter|cation transporter	1
SLC13A3	transporter|cation transporter	1
TRPC5	transporter|ion channel	10
TRPC6	transporter|ion channel	4
GGPS1	transferase|acyltransferase	2
TRPC3	transporter|ion channel	4
UGT1A1	transferase|glycosyltransferase	1
TRPC4	transporter|ion channel	2
TRPC1	transporter|ion channel	2
AVPR2	receptor|G-protein coupled receptor	10
FAAH2	transferase	1
RPL13A	nucleic acid binding|RNA binding protein|ribosomal protein	2
LCK	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	18
CRH	receptor|G-protein coupled receptor	1
LCT	hydrolase|glycosidase	3
ALDH9A1	oxidoreductase|dehydrogenase	1
CATSPER1	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	5
HDAC4	hydrolase|deacetylase	10
HDAC5	hydrolase|deacetylase	9
CATSPER3	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	5
HDAC2	hydrolase|deacetylase	19
CATSPER2	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	5
HDAC3	hydrolase|deacetylase	18
CATSPER4	transporter|ion channel|voltage-gated ion channel|voltage-gated sodium channel	5
HDAC1	hydrolase|deacetylase	27
PLG	hydrolase|protease|serine protease	2
TTK	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	2
PDHB	oxidoreductase|dehydrogenase	1
CYP3A4	oxidoreductase|oxygenase	46
HDAC8	hydrolase|deacetylase	14
CYP3A5	oxidoreductase|oxygenase	12
HDAC9	hydrolase|deacetylase	12
HDAC6	hydrolase|deacetylase	17
CYP3A7	oxidoreductase|oxygenase	8
HDAC7	hydrolase|deacetylase	8
NFS1	lyase	2
P2RY6	receptor|G-protein coupled receptor	2
TTR	transfer/carrier protein	1
P2RY4	receptor|G-protein coupled receptor	2
POLR2A	nucleic acid binding|RNA binding protein|DNA-directed RNA polymerase	1
P2RY2	receptor|G-protein coupled receptor	4
P2RY1	receptor|G-protein coupled receptor	3
CSK	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	2
UGT1A9	transferase|glycosyltransferase	2
ADSS	ligase	1
UGT1A6	transferase|glycosyltransferase	1
TRPA1	transporter|ion channel|voltage-gated ion channel	13
IDH3G	oxidoreductase|dehydrogenase	1
SMOX	transferase|methyltransferase|DNA methyltransferase	1
CYP51A1	oxidoreductase|oxygenase	6
GFER	oxidoreductase|oxidase	1
MTOR	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	36
P2RX7	transporter|ion channel|ligand-gated ion channel	2
P2RX4	transporter|ion channel|ligand-gated ion channel	1
PSAT1	transferase|transaminase	2
CTH	lyase	1
ZACN	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	1
MTRR	transferase|methyltransferase	1
HDAC10	hydrolase|deacetylase	7
VARS	ligase|aminoacyl-tRNA synthetase	1
AQP9	transporter	1
HDAC11	hydrolase|deacetylase	4
AQP1	transfer/carrier protein	1
RPS6KA4	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
RPS6KA3	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	2
RPS6KA6	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	2
PNP	transferase|phosphorylase	7
KAT5	nucleic acid binding|DNA binding protein|chromatin/chromatin-binding protein	1
RPS6KA2	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
RPS6KA1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	3
PDK1	transferase|kinase|protein kinase	4
CPT1A	transferase|acyltransferase	4
P3H2	extracellular matrix protein|extracellular matrix glycoprotein	2
KRT7	cytoskeletal protein|intermediate filament	1
P3H1	extracellular matrix protein|extracellular matrix glycoprotein	2
HLA-A	defense/immunity protein|major histocompatibility complex antigen	1
P3H3	extracellular matrix protein|extracellular matrix glycoprotein	2
CPT1B	transferase|acyltransferase	1
MAPK8IP1	enzyme modulator|kinase modulator|kinase activator	1
AZGP1	defense/immunity protein|major histocompatibility complex antigen	1
POR	oxidoreductase|oxygenase	2
SUCLG2	ligase	1
SIK1	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
SUCLG1	ligase|Succinyl-CoA Synthetase	1
NEIL1	lyase|glycosylase	1
CFTR	transporter|ion channel|anion channel	17
SLC22A6	transporter|carbohydrate transporter	7
TXK	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	1
MTTP	transfer/carrier protein|apolipoprotein	2
TXN	oxidoreductase	2
LIAS	transferase|lipoyltransferase	1
CRHR1	defense/immunity protein|antibacterial response protein	2
CRHR2	defense/immunity protein|antibacterial response protein	1
TRPM2	transporter|ion channel	7
UGCG	transferase|glycosyltransferase	1
GJA10	cell junction protein|gap junction	3
TRPM7	transporter|ion channel	3
TRPM8	transporter|ion channel	4
TRPM5	transporter|ion channel	2
TRPM6	transporter|ion channel	1
TRPM3	transporter|ion channel	7
TRPM4	transporter|ion channel	6
PYCR1	oxidoreductase|reductase	1
PYCR2	oxidoreductase|reductase	1
TYR	oxidoreductase|oxidase	13
HAL	lyase|histidase	1
SLC22A8	transporter|carbohydrate transporter	2
TOP2A	nucleic acid binding|DNA binding protein|DNA topoisomerase	31
TOP2B	nucleic acid binding|DNA binding protein|DNA topoisomerase	5
ORM1	extracellular matrix protein|extracellular matrix glycoprotein	2
HBB	transfer/carrier protein	1
ORM2	extracellular matrix protein|extracellular matrix glycoprotein	2
GABRR3	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	7
SLC22A12	transporter|carbohydrate transporter	3
GABRR2	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	7
GABRR1	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	8
XPO1	receptor	3
GSG2	transferase|kinase|protein kinase|serine/threonine protein kinase receptor	1
HRAS	enzyme modulator|G-protein|small GTPase	1
SLC22A11	transporter|carbohydrate transporter	1
CBR1	oxidoreductase|dehydrogenase	1
PARP3	nucleic acid binding|DNA binding protein	3
PARP1	nucleic acid binding|DNA binding protein	16
PARP2	nucleic acid binding|DNA binding protein	6
TUBB	cytoskeletal protein|microtubule family cytoskeletal protein|tubulin	22
GPBAR1	receptor|G-protein coupled receptor	6
TYK2	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	4
RENBP	isomerase|epimerase/racemase	1
HCK	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	5
UGDH	oxidoreductase|dehydrogenase	1
ALDH5A1	oxidoreductase|dehydrogenase	4
NHP2L1	lyase|glycosylase	2
TLR9	extracellular matrix protein	2
TLR8	extracellular matrix protein	2
TLR7	extracellular matrix protein	6
TLR4	extracellular matrix protein	5
PTGER4	receptor|G-protein coupled receptor	5
ADH1C	oxidoreductase|dehydrogenase	4
ADH1B	oxidoreductase|dehydrogenase	2
PTGER1	receptor|G-protein coupled receptor	11
ADH1A	oxidoreductase|dehydrogenase	2
HDC	lyase|decarboxylase	2
PTGER2	receptor|G-protein coupled receptor	6
PTGER3	receptor|G-protein coupled receptor	8
TYMS	transferase|methyltransferase	16
TYMP	transferase|glycosyltransferase	2
PPP2CA	hydrolase|phosphatase|protein phosphatase	1
PPP2CB	hydrolase|phosphatase|protein phosphatase	1
NT5E	hydrolase|phosphatase|nucleotide phosphatase	1
GABRE	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	26
GABRD	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	27
GABRQ	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	26
GABRP	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	26
GBF1	enzyme modulator|G-protein modulator|guanyl-nucleotide exchange factor	1
GSTA5	oxidoreductase|reductase	1
GSTA4	oxidoreductase|reductase	1
GSTA3	oxidoreductase|reductase	1
GSTA2	oxidoreductase|reductase	2
GSTA1	oxidoreductase|reductase	1
F2RL1	receptor|G-protein coupled receptor	1
RAB9A	membrane traffic protein|membrane trafficking regulatory protein	1
GUCY1B3	lyase|cyclase|guanylate cyclase	9
GUCY1B2	lyase|cyclase|guanylate cyclase	3
NDUFA13	oxidoreductase|dehydrogenase	1
KDM1A	transferase|methyltransferase|DNA methyltransferase	2
NDUFA11	oxidoreductase|dehydrogenase	1
NDUFA12	oxidoreductase|dehydrogenase	1
NDUFA10	transferase|kinase|nucleotide kinase	1
COMT	transferase|methyltransferase	8
FPGS	ligase	2
HADH	oxidoreductase|dehydrogenase	1
CHRNB2	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	7
GUCY1A3	lyase|cyclase|guanylate cyclase	9
CHRNB1	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	1
GUCY1A2	lyase|cyclase|guanylate cyclase	4
CHRNB4	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	5
PHYH	oxidoreductase|oxygenase	1
CHRNB3	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	2
KDM2A	transferase|methyltransferase|DNA methyltransferase	1
LIG1	nucleic acid binding|DNA binding protein	1
ATP1B3	transporter|cation transporter|ATP synthase	1
LIG3	nucleic acid binding|DNA binding protein	1
ATP1B2	transporter|cation transporter|ATP synthase	1
ATP1B1	transporter|cation transporter|ATP synthase	1
LPA	hydrolase|protease|serine protease	2
PNLIP	hydrolase|lipase|phospholipase	2
CHRNA1	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	9
CHRNA3	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	11
CHRNA2	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	22
CHRNA5	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	2
CHRNA4	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	18
CHRNA7	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	22
CHRNA6	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	6
CHRNA9	transporter|ion channel|ligand-gated ion channel|acetylcholine receptor	4
LPL	hydrolase|esterase	5
ALOX12	oxidoreductase|oxygenase	1
HRH1	receptor|G-protein coupled receptor	107
HRH3	receptor|G-protein coupled receptor	18
HRH2	receptor|G-protein coupled receptor	25
NPC1L1	receptor	1
HRH4	receptor|G-protein coupled receptor	21
CYP2J2	oxidoreductase|oxygenase	2
DARS	ligase|aminoacyl-tRNA synthetase	1
MGEA5	hydrolase|glycosidase	1
IDH1	oxidoreductase|dehydrogenase	1
IDH2	oxidoreductase|dehydrogenase	1
TRPV2	transporter|ion channel	2
TRPV3	transporter|ion channel	1
TRPV1	transporter|ion channel	21
POU2F2	transcription factor|helix-turn-helix transcription factor|homeobox transcription factor	1
EIF2S1	nucleic acid binding|RNA binding protein|translation factor|translation initiation factor	1
SELE	hydrolase|protease|serine protease	3
SELP	hydrolase|protease|serine protease	5
SEPSECS	transferase	1
DAO	oxidoreductase|oxidase	3
SELL	hydrolase|protease|serine protease	1
TRPV6	transporter|ion channel	1
TRPV4	transporter|ion channel	4
TRPV5	transporter|ion channel	2
PI4KA	transferase|kinase	1
PI4KB	transferase|kinase	2
FGFR4	transferase|kinase|protein kinase|receptor tyrosine protein kinase	6
FGFR3	transferase|kinase|protein kinase|receptor tyrosine protein kinase	12
FGFR2	transferase|kinase|protein kinase|receptor tyrosine protein kinase	13
BMPR1A	transferase|kinase|protein kinase|serine/threonine protein kinase receptor	1
FGFR1	transferase|kinase|protein kinase|receptor tyrosine protein kinase	21
GLP1R	defense/immunity protein|antibacterial response protein	2
KDM5C	transcription factor|zinc finger transcription factor	1
KDM5D	transcription factor|zinc finger transcription factor	1
THRB	transcription factor|nuclear hormone receptor	4
THRA	transcription factor|nuclear hormone receptor	4
MLNR	receptor|G-protein coupled receptor	6
DBI	transfer/carrier protein	1
DBH	oxidoreductase|hydroxylase	4
HK2	transferase|kinase|protein kinase|hexokinase	1
CASP8	hydrolase|protease|cysteine protease	1
CASP3	hydrolase|protease|cysteine protease	7
TOP1MT	nucleic acid binding|DNA binding protein|DNA topoisomerase	2
CASP1	hydrolase|protease|cysteine protease	2
NOS1	oxidoreductase|oxygenase	12
KDM6A	transcription factor	1
KDM6B	transcription factor	1
CYP3A43	oxidoreductase|oxygenase	1
DCK	transferase|kinase|nucleotide kinase	3
DCN	signaling molecule|cytokine	1
DNM1	enzyme modulator|G-protein|small GTPase	2
DNM2	enzyme modulator|G-protein|small GTPase	1
ALDH1A3	oxidoreductase|dehydrogenase	2
MYH2	cytoskeletal protein|actin family cytoskeletal protein|actin binding motor protein	1
DDAH1	hydrolase	1
DDAH2	hydrolase	1
ALDH1A2	oxidoreductase|dehydrogenase	3
ALDH1A1	oxidoreductase|dehydrogenase	3
HAGH	hydrolase	1
LTF	hydrolase|protease|serine protease	3
DDC	lyase|decarboxylase	6
PDXK	transferase|kinase	1
ATP1A4	transporter|ion channel	1
ATP1A3	transporter|ion channel	1
PDXP	hydrolase|phosphatase	1
ATP1A2	transporter|ion channel	1
ATP1A1	transporter|ion channel	19
